  Func                               Cost    Frame   Height
------------------------------------------------------------------------
> prv_check4                          420      420        1
> prv_check3                          324      324        1
> esp_ota_end                         276      276        1
> ws_connect                          276      276        1
> esp_ota_set_boot_partition          244      244        1
> prv_check2                          228      228        1
> memfault_register_cli               228      228        1
> memfault_platform_log               196      196        1
> memfault_platform_http_client_post_data      196      196        1
> initialise_wifi                     180      180        1
> esp_vfs_dev_uart_register           164      164        1
> spi_ram_check                       148      148        1
> esp_mbedtls_verify_certificate      132      132        1
> sc_ack_send_task                    132      132        1
> __wrap_panicHandler                 132      132        1
> esp_http_client_set_url             116      116        1
> memfault_platform_http_client_create      116      116        1
> esp_vfs_select                      100      100        1
> tcpip_adapter_set_ip_info           100      100        1
> memfault_esp_port_wifi_available      100      100        1
> tcpip_adapter_start                 100      100        1
> esp_early_log_write                  84       84        1
> esp_tls_conn_http_new                84       84        1
> esp_tls_conn_http_new_async          84       84        1
> prvReceiveGeneric                    84       84        1
> tcpip_adapter_dhcps_cb               84       84        1
> tcp_connect                          84       84        1
> spi_ram_init                         84       84        1
> esp_log_write                        84       84        1
> start_webserver                      84       84        1
> prvReceiveGenericFromISR             68       68        1
> tcpip_adapter_ip_lost_timer          68       68        1
> uart_start_select                    68       68        1
> memfault_esp_port_coredump_storage_boot       68       68        1
> tcpip_adapter_dhcpc_done             68       68        1
> _ws_write                            68       68        1
> esp_http_client_read                 68       68        1
> ioctl                                68       68        1
> xRingbufferReceiveSplit              68       68        1
> memfault_platform_log_raw            68       68        1
> tcpip_adapter_dhcpc_cb               68       68        1
> fcntl                                68       68        1
> esp_tls_low_level_conn               68       68        1
> tcpip_adapter_dhcps_option           68       68        1
> ws_read_header                       68       68        1
> esp_tcp_connect                      68       68        1
> esp_tls_conn_new                     52       52        1
> ws_read                              52       52        1
> ssl_poll_write                       52       52        1
> get_vfs_for_path                     52       52        1
> xRingbufferReceive                   52       52        1
> xRingbufferSend                      52       52        1
> esp_console_get_completion           52       52        1
> esp_mbedtls_write                    52       52        1
> esp_vfs_open                         52       52        1
> tcp_write@tcp_transport/transport_tcp.o       52       52        1
> ssl_write                            52       52        1
> ssl_connect                          52       52        1
> tcpip_adapter_recv_cb                52       52        1
> esp_tls_conn_new_sync                52       52        1
> resolve_host_name                    52       52        1
> tcp_poll_write                       52       52        1
> memfault_platform_metrics_timer_boot       52       52        1
> spi_ram_fifo_read                    52       52        1
> set_client_config                    52       52        1
> ssl_poll_read                        52       52        1
> esp_vfs_register_common              52       52        1
> spi_ram_fifo_write                   52       52        1
> esp_console_split_argv               52       52        1
> uart_read                            52       52        1
> esp_console_get_hint                 52       52        1
> ws_read_payload                      52       52        1
> esp_console_register_help_command       52       52        1
> tcp_read@tcp_transport/transport_tcp.o       52       52        1
> esp_create_mbedtls_handle            52       52        1
> xRingbufferReceiveUpTo               52       52        1
> esp_rewrite_ota_data                 52       52        1
> ssl_read                             52       52        1
> vRingbufferGetInfo                   52       52        1
> esp_http_check_response              52       52        1
> prvCopyItemAllowSplit                52       52        1
> esp_vfs_register_fd_range            52       52        1
> tcp_poll_read                        52       52        1
> esp_vfs_unregister                   52       52        1
> uart_write                           52       52        1
> esp_transport_ws_send_raw            52       52        1
> xRingbufferReceiveSplitFromISR       52       52        1
> prv_get_core_cmd                     36       36        1
> set_ca_cert                          36       36        1
> spi_ram_write                        36       36        1
> esp_transport_init                   36       36        1
> memfault_esp_port_event_collection_boot       36       36        1
> tcpip_adapter_dhcpc_start            36       36        1
> memfault_platform_coredump_storage_clear       36       36        1
> tcpip_adapter_start_ip_lost_timer       36       36        1
> ssl_connect_async                    36       36        1
> esp_http_client_write                36       36        1
> access                               36       36        1
> tcpip_adapter_stop_dhcp              36       36        1
> tcpip_adapter_set_hostname           36       36        1
> memfault_platform_coredump_storage_write       36       36        1
> tcpip_adapter_dhcps_start            36       36        1
> uart_tcgetattr                       36       36        1
> esp_vfs_lseek                        36       36        1
> esp_http_client_set_post_field       36       36        1
> tcpip_adapter_release_dhcp           36       36        1
> esp_vfs_write                        36       36        1
> initialise_reboot_tracking           36       36        1
> esp_console_run                      36       36        1
> esp_console_cmd_register             36       36        1
> sc_ack_send_info                     36       36        1
> esp_vfs_link                         36       36        1
> esp_vfs_stat                         36       36        1
> esp_vfs_read                         36       36        1
> prvCopyItemByteBuf                   36       36        1
> _set_config                          36       36        1
> tcsetattr                            36       36        1
> esp_ota_begin                        36       36        1
> uart_rx_char_via_driver              36       36        1
> prv_coredump_storage_write           36       36        1
> xRingbufferReceiveUpToFromISR        36       36        1
> esp_transport_tcp_init               36       36        1
> esp_ota_get_next_update_partition       36       36        1
> http_on_header_value                 36       36        1
> memfault_platform_get_device_info       36       36        1
> esp_transport_ssl_init               36       36        1
> tcpip_adapter_get_sta_list           36       36        1
> sc_ack_send_get_errno                36       36        1
> prv_recursive_crash                  36       36        1
> mkdir                                36       36        1
> tcpip_adapter_clean_dhcp             36       36        1
> xRingbufferSendFromISR               36       36        1
> esp_http_client_request_send         36       36        1
> esp_http_client_init                 36       36        1
> uart_fcntl                           36       36        1
> esp_transport_list_init              36       36        1
> tcpip_adapter_start_dhcp             36       36        1
> esp_transport_ws_init                36       36        1
> spi_ram_read                         36       36        1
> esp_transport_list_add               36       36        1
> truncate                             36       36        1
> memfault_fault_handling_assert       36       36        1
> esp_vfs_rename                       36       36        1
> xRingbufferReceiveFromISR            36       36        1
> uart_tx_char_via_driver              36       36        1
> prv_post_chunks                      36       36        1
> readdir_r                            36       36        1
> vRingbufferDelete                    20       20        1
> memfault_platform_coredump_storage_read       20       20        1
> get_http_header                      20       20        1
> rewinddir                            20       20        1
> tcpip_adapter_get_old_ip_info        20       20        1
> opendir                              20       20        1
> tcdrain                              20       20        1
> tcgetsid                             20       20        1
> prv_trace_event_test                 20       20        1
> fsync                                20       20        1
> http_on_body                         20       20        1
> esp_vfs_unregister_fd                20       20        1
> http_on_message_complete             20       20        1
> app_main                             20       20        1
> http_client_prepare_first_line       20       20        1
> spi_ram_fifo_create                  20       20        1
> esp_transport_ssl_set_alpn_protocol       20       20        1
> prv_clear_core_cmd                   20       20        1
> translate_path                       20       20        1
> esp_transport_read                   20       20        1
> tcgetattr                            20       20        1
> esp_tls_get_conn_sockfd              20       20        1
> esp_tls_get_global_ca_store          20       20        1
> tcsendbreak                          20       20        1
> esp_log_write_str                    20       20        1
> xRingbufferRemoveFromQueueSetRead       20       20        1
> esp_ota_get_boot_partition           20       20        1
> esp_vfs_unlink                       20       20        1
> esp_http_client_prepare              20       20        1
> memfault_lock                        20       20        1
> xRingbufferCreateNoSplit             20       20        1
> tcp_write@esp-tls/esp_tls.o          20       20        1
> tcpip_adapter_down                   20       20        1
> esp_transport_get_payload_transport_handle       20       20        1
> tcp_read@esp-tls/esp_tls.o           20       20        1
> _dhcp_clean                          20       20        1
> http_on_url                          20       20        1
> readdir                              20       20        1
> tcpip_adapter_up                     20       20        1
> upload_get_handler                   20       20        1
> ws_poll_read                         20       20        1
